market,security,last_add,ticker,touches_defective_cell
China,DAH CHONG HONG (CN)                   CHINA,Nov11,,False
China,DALI FOODS GROUP CO,May18,,False
China,DALIAN WANDA COMM PROP H,May15,,False
China,DAPHNE INTL HOLDINGS(CN)              CHINA,Nov11,,False
China,DATANG INTL PWR A (HK-C),Nov22,,False
China,DAWNING INFO A (HK-C),Nov21,603019.SS,False
China,DONGFANG ELE MACH H,Nov07,,False
China,DONGFANG ELECTR A (HK-C),Nov18,000682.SZ,False
China,DONGFENG MOTOR GROUP H,Nov25,,False
China,EVER SUNSHINE LIFESTYLE,Feb21,,False
China,EVERGRANDE REAL ESTATE,Nov10,,False
China,FAR EAST HORIZON                      GREEN,Nov11,,False
China,FOSUN INT'L(CN),May08,,False
China,FOUNDER TECH GRP A(HK-C),Feb26,,False
China,FOXCONN INDL A (HK-C),Feb19,,False
China,FRANSHION PROPERTIES,Aug09,,False
China,FUJIAN ANJOY A (HK-C),Nov20,,False
China,FUSHAN INT'L ENERGY(CN),Aug09,,False
China,FUTURE LAND DEVELOPMENT,May18,,False
China,FUYAO GLASS IND GRP H,Nov16,,False
China,GCL POLY ENERGY,May21,,False
China,GDS HOLDINGS A ADR,May18,,False
China,GIGA DEVICE SC A (HK-C),Nov19,,False
China,GLODON CO A (HK-C),Nov19,002410.SZ,False
China,GONGNIU GROUP A (HK-C),Aug23,,False
China,GSX TECHEDU A ADR,May20,,False
China,GUOTAI JUNAN SE A (HK-C),May18,,False
China,GUOXUAN HI TECH A (HK-C),Nov19,,False
China,HAIER ELCTRNCS GRP(CN)                HIDIL,Nov11,,False
China,HAINAN AIRLINES A (HK-C),May23,900945.SS,False
China,HAITIAN INTL HLDGS,Nov13,,False
China,HANERGY SOLAR GROUP,Nov13,,False
China,HANG ZHOU GREAT A (HK-C),Aug23,,False
China,HANGZHOU HIKVIS A (HK-C),May18,002415.SZ,False
China,HANGZHOU STEAM TURBINE B,May07,,False
China,HANS LASER TECH A (HK-C),May18,,False
China,HEILAN HOME A (HK-C),May18,,False
China,HENGAN INT'L GROUP CO,May07,,False
China,HENGTEN NETWORKS (CN),May21,,False
China,HESTEEL CO A (HK-C),May18,,False
China,HIDILI INDUSTRY INTL DEV,Aug09,,False
China,HONGFA TECH A (HK-C),Nov19,600885.SS,False
China,HUA HONG SC (CN),Aug18,,False
China,HUAAN SECURITIES A(HK-C),May18,600909.SS,False
China,HUADIAN POWER INT'L H,Nov14,,False
China,HUANENG RENEWABLES H,May15,,False
China,HUATAI SEC CO A (HK-C),May18,,False
China,HUAXIA BANK A (HK-C),May18,,False
China,HUMANWELL HEALTH A(HK-C),Nov20,600079.SS,False
China,HUNAN VALIN A (HK-C),Nov19,001208.SZ,False
China,HUTCHISON CHINA ADR,Nov18,,False
China,ICBC A (HK-C),May18,,False
China,INGENIC SC A (HK-C),Nov20,,False
China,INNER MONGOLIA X A(HK-C),Nov25,603230.SS,False
China,INSPUR ELECTRS A (HK-C),Nov19,,False
China,INTIME DEPARTMENT STORE,May11,,False
China,JD.COM ADR,Nov15,,False
China,JIANGSU CHANGJI A (HK-C),Nov19,,False
China,JIANGXI GANFENG A (HK-C),May18,,False
China,JIHUA GROUP A (HK-C),May18,601718.SS,False
China,JINYU BIO TECH A (HK-C),Nov19,600201.SS,False
China,KANGDE XIN COMP A (HK-C),May18,,False
China,KANGMEI PHARMA A (HK-C),May18,600518.SS,False
China,KANZHUN A ADR,Nov21,,False
China,KINGBOARD CHEM HLDG (CN),Nov17,,False
China,KINGBOARD CHEM. HOLD(CN),May09,,False
China,KINGDEE INTL SOFTWARE,May18,,False
China,KNGBRD LAMNTS HLDG (CN),May26,,False
